0.7067486545	synapsis
0.6988304843	white
0.6946686047	significance
0.6944070565	error
0.6916779089	cassette
0.6916288185	stratum
0.6893501759	photoreceptors
0.6881008201	regulate
0.6861045971	distal
0.6841747243	standard
0.6837170090	culture
0.6834526468	products
0.6829997187	product
0.6821069870	surface
0.6819728085	act
0.6819110539	chr
0.6818822220	nucleotide
0.6817728188	black
0.6798564378	deficiency
0.6797301363	reverse
0.6796389725	state
0.6787380917	raft
0.6782403494	pre
0.6781920719	anesthetized
0.6778021852	littermate
0.6777371668	conserved
0.6774831828	oxygen
0.6761039934	short
0.6760324554	fat
0.6754393884	fluorescence
0.6751704435	cancer
0.6750623612	epidermal
0.6749984572	pair
0.6749157560	average
0.6746315727	insulin
0.6743729185	hormone
0.6742076983	selection
0.6739592706	fibroblast
0.6736708000	histological
0.6734354361	osteoblast
0.6732919229	paraffin
0.6719245540	molecules
0.6717265837	version
0.6715402839	reaction
0.6713745442	gonad
0.6712291233	interdigital
0.6703912698	confocal
0.6700259468	embryonic
0.6699655643	linkage
0.6696965435	exon
0.6695564321	junction
0.6693409806	neuronal
0.6693097151	cardiac
0.6690601673	transduction
0.6690437239	output
0.6687880201	genetic
0.6682780184	ld
0.6681685953	phosphate
0.6676748937	strial
0.6675311077	antibodies
0.6674773945	atp
0.6671309654	arrow
0.6669555257	stress
0.6664052894	arrest
0.6663181870	mitochondrial
0.6662901186	conversion
0.6662192665	chromosome
0.6655203684	patterning
0.6653740689	hippocampal
0.6651366328	biotechnology
0.6649319817	cloning
0.6646923511	cortical
0.6645412749	budding
0.6645312052	male
0.6642981284	polymerase
0.6641346308	platform
0.6640645902	plasma
0.6640629326	targeting
0.6640515244	library
0.6639412275	testes
0.6637484593	serum
0.6636524020	negative
0.6634567524	epidermis
0.6633450685	molecular
0.6631773155	artery
0.6631604961	hybrid
0.6630339135	parathyroid
0.6629947905	bxd
0.6626032906	create
0.6624447362	afferents
0.6620395487	epithelial
0.6619248534	na
0.6614479612	activated
0.6602408409	oxidative
0.6601742617	germline
0.6600490740	rate
0.6598803560	testing
0.6595141294	neuron
0.6593654968	kidneys
0.6591427197	biogenesis
0.6589771958	phosphatase
0.6589158125	obesity
0.6586234074	genotype
0.6586133560	limbs
0.6582648674	comparable
0.6582648674	prophase
0.6580561523	coordination
0.6578438823	threshold
0.6576559963	solution
0.6575828907	transgene
0.6574443780	region
0.6573681896	percent
0.6566222021	amplified
0.6565978797	lipid
0.6564544911	index
0.6563815866	animal
0.6563133418	rod
0.6556074453	pharyngeal
0.6555626913	total
0.6555238260	vector
0.6553404219	food
0.6553404219	aqueous
0.6553148674	bone
0.6550753300	monoclonal
0.6547448062	mesenchymal
0.6546141317	free
0.6541932358	rabbit
0.6539555742	glucose
0.6538810464	chimeric
0.6537501506	remodeling
0.6536937231	intermediate
0.6536414814	proliferation
0.6535968554	applied
0.6534295698	recessive
0.6531395455	aorta
0.6530813724	fidelity
0.6530657828	cluster
0.6526523980	small
0.6524830929	laboratory
0.6524577640	aged
0.6524465276	genotyping
0.6520695155	arthritis
0.6519754036	kb
0.6519574485	salt
0.6518949485	care
0.6517817902	diagnostics
0.6517817902	medical
0.6516280692	sensitive
0.6515811473	transgenic
0.6514015347	growth
0.6511721523	potential
0.6511312094	group
0.6510717176	pathway
0.6506042700	sheet
0.6504516265	transcript
0.6503393422	disease
0.6500750159	previous
0.6497112375	pachytene
0.6496894824	fluorescent
0.6494301637	association
0.6491949633	test
0.6489173481	polyclonal
0.6489139804	diseases
0.6488861024	bile
0.6487603872	sex
0.6487476157	response
0.6484190082	spermatocytes
0.6483885575	medium
0.6483528805	isolated
0.6480628669	harbor
0.6478957266	class
0.6478733017	limited
